,time,temperature,humidity
138,1658857437.6836438,36.5,59.4
139,1658857437.9585862,36.5,59.4
140,1658857438.227992,36.5,59.4
141,1658857438.5024056,36.5,59.4
142,1658857438.777252,36.5,59.4
143,1658857439.048118,36.5,59.3
144,1658857439.3215122,36.5,59.4
145,1658857439.5969007,36.5,59.3
146,1658857439.8707473,36.5,59.3
147,1658857440.1411116,36.5,59.3
148,1658857440.4159672,36.5,59.3
149,1658857440.6903634,36.5,59.3
150,1658857440.9602172,36.5,59.3
151,1658857441.234604,36.5,59.3
152,1658857441.508724,36.5,59.3
153,1658857441.783569,36.5,59.3
154,1658857442.05342,36.5,59.3
155,1658857442.3278277,36.5,59.2
156,1658857442.6022217,36.5,59.2
157,1658857442.8732288,36.5,59.2
158,1658857443.1475549,36.5,59.2
159,1658857443.4213867,36.5,59.2
160,1658857443.691801,36.5,59.1
161,1658857443.9666474,36.5,59.1
162,1658857444.2410133,36.5,59.1
163,1658857444.5154076,36.5,59.1
164,1658857444.7902553,36.5,59.0
165,1658857445.0601048,36.5,59.0
166,1658857445.3345664,36.5,59.0
167,1658857445.6089559,36.5,58.9
168,1658857445.8838034,36.5,58.9
169,1658857446.1541982,36.5,58.9
170,1658857446.4284554,36.5,58.8
171,1658857446.7028575,36.5,58.8
172,1658857446.9767058,36.5,58.8
173,1658857447.2471411,36.4,58.8
174,1658857447.5215397,36.4,58.8
175,1658857447.7963898,36.4,58.7
176,1658857448.0668902,36.4,58.8
177,1658857448.3407393,36.5,58.7
178,1658857448.615729,36.5,58.7
179,1658857448.8895733,36.4,58.7
180,1658857449.1604269,36.4,58.7
181,1658857449.4342773,36.5,58.7
182,1658857449.7086916,36.4,58.7
183,1658857449.9835346,36.5,58.6
184,1658857450.2539268,36.5,58.6
185,1658857450.5283303,36.4,58.6
186,1658857450.802177,36.4,58.5
187,1658857451.0765996,36.5,58.5
188,1658857451.3474586,36.5,58.4
189,1658857451.6222022,36.4,58.5
190,1658857451.89605,36.5,58.4
191,1658857452.166471,36.4,58.4
192,1658857452.440387,36.5,58.4
193,1658857452.7147763,36.5,58.3
194,1658857452.9895966,36.4,58.3
195,1658857453.2599835,36.4,58.3
196,1658857453.5343769,36.4,58.3
197,1658857453.8092241,36.4,58.3
198,1658857454.083608,36.4,58.2
199,1658857454.353457,36.5,58.2
200,1658857454.6279178,36.5,58.2
201,1658857454.9027615,36.5,58.2
202,1658857455.177293,36.5,58.2
203,1658857455.4471376,36.4,58.2
204,1658857455.721525,36.4,58.1
205,1658857455.996368,36.5,58.1
206,1658857456.2667618,36.5,58.1
207,1658857456.541157,36.4,58.1
208,1658857456.815003,36.5,58.1
209,1658857457.0893962,36.5,58.1
210,1658857457.3595295,36.5,58.0
211,1658857457.633923,36.4,58.0
212,1658857457.9087696,36.5,58.0
213,1658857458.1831527,36.5,58.0
214,1658857458.4540024,36.4,58.0
215,1658857458.7283943,36.4,58.0
216,1658857459.0022368,36.5,58.1
217,1658857459.272617,36.4,58.1
218,1658857459.547008,36.4,58.1
219,1658857459.8218527,36.4,58.1
220,1658857460.0962613,36.4,58.1
221,1658857460.3661628,36.5,58.2
222,1658857460.6405532,36.5,58.2
223,1658857460.9154003,36.4,58.2
224,1658857461.1857908,36.4,58.2
225,1658857461.4596338,36.4,58.2
226,1658857461.7340195,36.4,58.3
227,1658857462.0089483,36.5,58.3
228,1658857462.2793474,36.4,58.3
229,1658857462.553737,36.5,58.4
230,1658857462.8275845,36.5,58.4
231,1658857463.1017618,36.4,58.4
232,1658857463.372612,36.4,58.4
233,1658857463.6469955,36.5,58.5
234,1658857463.9218483,36.5,58.5
235,1658857464.1922376,36.4,58.5
236,1658857464.4660804,36.4,58.5
237,1658857464.7404804,36.4,58.6
238,1658857465.015327,36.4,58.6
239,1658857465.2857304,36.4,58.6
240,1658857465.5601196,36.5,58.6
241,1658857465.8339725,36.4,58.7
242,1658857466.108383,36.5,58.7
243,1658857466.3792386,36.5,58.7
244,1658857466.6536307,36.4,58.7
245,1658857466.9278927,36.5,58.7
246,1658857467.202305,36.4,58.8
247,1658857467.4721541,36.5,58.8
248,1658857467.746541,36.5,58.9
249,1658857468.0213828,36.4,58.9
250,1658857468.2957773,36.4,58.9
251,1658857468.5661569,36.5,59.0
252,1658857468.840001,36.5,59.0
253,1658857469.1153889,36.5,59.0
254,1658857469.3892338,36.5,59.0
255,1658857469.6600823,36.5,59.0
256,1658857469.9339325,36.5,59.0
257,1658857470.2087743,36.5,59.1
258,1658857470.4826276,36.4,59.1
259,1658857470.7534788,36.4,59.1
260,1658857471.0273333,36.5,59.2
261,1658857471.3024375,36.5,59.2
262,1658857471.572293,36.5,59.2
263,1658857471.846452,36.5,59.3
264,1658857472.1213083,36.4,59.3
265,1658857472.3951514,36.5,59.3
266,1658857472.666428,36.5,59.3
267,1658857472.9406543,36.5,59.4
268,1658857473.2145002,36.5,59.4
269,1658857473.4853451,36.5,59.4
270,1658857473.7591934,36.5,59.5
271,1658857474.0340397,36.5,59.5
272,1658857474.3078933,36.5,59.5
273,1658857474.5790722,36.5,59.5
274,1658857474.8529198,36.5,59.5
